datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
260627172356.759,7.540,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172356.877,7.660,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172356.998,7.780,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.118,7.900,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.241,8.020,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.359,8.140,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.478,8.260,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.600,8.380,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.717,8.500,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.839,8.620,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172357.958,8.740,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.080,8.860,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.203,8.980,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.319,9.100,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.442,9.220,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.557,9.340,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.679,9.460,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.802,9.580,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172358.918,9.700,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.038,9.820,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.159,9.940,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.279,10.060,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.397,10.180,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260627172359.520,10.300,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
